claim	article_url	video_url	autres_candidats
Le patron de BioNTech ne veut pas être vacciné	https://factuel.afp.com/doc.afp.com.9N76ML		
Cette vidéo montre l'ouragan Melissa vu depuis un avion.	https://dpa-factchecking.com/belgium/251030-99-490897	https://www.tiktok.com/@earthimpacts/video/7565332699209125142	
Cette vidéo montre des migrants en train d’attaquer des marines américains	https://www.20minutes.fr/societe/4152392-20250510-video-montre-migrants-train-attaquer-marines-americains	https://www.youtube.com/watch?v=9y2_RAcKQEQ	https://x.com/mikehoran1158/status/1919029276965282003
Cette vidéo montre un raid de l'ICE dans une école	https://factuel.afp.com/doc.afp.com.93LW8WE	https://x.com/Shanna__Bylka/status/2013255748638134364	https://www.youtube.com/watch?v=WLEvLB5KYNI; https://x.com/ggqt3/status/1569760735516938240; https://www.youtube.com/watch?v=uqr4IGtfOiU
Une vidéo d'un migrant demandant de l'argent et un hébergement gratuit	https://factuel.afp.com/doc.afp.com.C64E863		
Une vidéo relayée sur X montre le chanteur Liam Payne tomber d'un immeuble en Argentine	https://www.tf1info.fr/international/video-mort-de-liam-payne-ex-membre-de-one-direction-a-buenos-aires-argentine-gare-a-cette-video-censee-montrer-la-chute-du-chanteur-d-un-immeuble-2329100.html	https://x.com/manimax82/status/1846744381706895580	
Une vidéo montre une attaque iranienne contre des infrastructures énergétiques à Dubaï.	https://factuel.afp.com/doc.afp.com.B2GG9G3		
Cette vidéo montre un Ovni abattu en Pologne	https://www.tf1info.fr/international/cette-video-montre-t-elle-encore-un-ovni-abattu-cette-fois-ci-au-dessus-de-la-pologne-2249435.html	https://www.youtube.com/watch?v=P9j1fQs0UL4	
Une vidéo de l'effondrement d'un immeuble après le séisme au Vénézuela	https://factuel.afp.com/doc.afp.com.B8R37G7		
Cette vidéo montre une évacuation de Rafah (début mai 2024).	https://dpa-factchecking.com/belgium/240507-99-949713	https://twitter.com/BPartisans/status/1787500133401219536	https://www.instagram.com/reel/CzYsMiWsnvd; https://www.instagram.com/p/Czd_74bo0LD; https://www.facebook.com/jeanpaul.lilienfeld/videos/1107649453795256
Donald Trump danse sur le toit de la Maison Blanche	https://factuel.afp.com/doc.afp.com.699W7KE		
Cette vidéo montre un tsunami après le séisme du 1er janvier 2024	https://defacto-observatoire.fr/Medias/Factuel/Fact-checks/Cette-video-d-un-tsunami-destructeur-au-Japon-date-de-2011/	https://www.youtube.com/watch?v=aQj2zn5Axmk	https://www.youtube.com/embed/hYOJEF6mHUw; https://www.youtube.com/watch?v=e633IbU8IHU; https://www.youtube.com/embed/e633IbU8IHU
