score	id	label	texte	titre_video	similarite	verdict_llm
1.95	chbrd4od1iy26wmmx5ryg2g8j	FALSE	Cette vidéo montre de fausses victimes mortes en Ukraine	Хаски — Никогда-нибудь	0.561	MAUVAIS: qualifie déjà contenu
1.61	co71xscqxxd889yq6ggg50gdy	FALSE	Une vidéo prouve que le vol dans l'espace de Katy Perry est une arnaque	My Blue Origin Flight to Space!	0.628	MAUVAIS: qualifie déjà le contenu
1.59	cmt8z7g3e0006uddqe2jovxvq	TRUE	Cette vidéo de « duel » entre un « mini-cerf » et un rhinocéros est-elle générée par IA ?	Dog and Capybara	0.633	MAUVAIS: question formulée
1.48	car0z9lec4s74c7ggk2kql1a5	FALSE	Une vidéo montre "l'ange de la mort" arrivé en Iran pour faire plier les Américains	سمع الله لمن نادئ علي || ملأ مجتبى الكعبي || هيئه الزهراء || ١٤٤٦هـ ٢٠٢٤ _ البصره _ المدينه	0.655	MAUVAIS: qualifie déjà contenu
1.36	ckx3z0tboox4p11s1mnsb1nn4	FALSE	Cette vidéo montre un incendie volontaire et prouve que le réchauffement climatique n'existe pas	Manœuvre des spécialistes du brûlage dirigé - commune de Lançon-Provence	0.679	MAUVAIS: contient point de vue
1.24	cifxr7q3p47aompatds3783dy	FALSE	Les vidéos prouvent la mise en scène de faux blessés à Gaza	Dates de législatives en juin: Macron n'aurait pas respecté le code électoral ?	0.702	MAUVAIS: qualifie déjà contenu
1.11	cmjdz829dahnpyagb8d1oysxs	FALSE	Cette vidéo montre un prêtre mort après avoir été vacciné	Les Parisiennes seraient incitées à accoucher avant le début des Jeux olympiques, le 26 juillet ?	0.728	MAUVAIS: qualifie déjà contenu
1.00	cmt8z7hp7002yuddq8i8stx72	FALSE	Une vidéo montre un soldat tué par un homme derrière son ordinateur avec une manette de jeu vidéo	La nouvelle création de l’armée pour parer a l'utilisation des drones en temps de guerre.	0.808	MAUVAIS: formulation en question
1.00	cmqhzevite7bfmar60f6s92ms	FALSE	Vidéo d'un ressortissant étranger au Japon frappant une voiture	Los Angeles Dodgers - World Series Teaser	0.531	OK
0.89	cg3e28sc9fsbpwircprftymk3	FALSE	Des vidéos et photos montrent un crash de vayageurs Mauritaniens en mer Rouge	Recherche d'image inversée | AFP Fact Check	0.572	
0.77	c2yqpawr79llss6jvmm2rr1hr	FALSE	La vidéo montre des fraudes pendant l'élection du 28 avril 2025 au Canada	Recherche d'image inversée | AFP Fact Check	0.596	
0.76	cnf61ptngigymtpafmoui9mev	FALSE	Cette vidéo montre une manifestation contre le gouvernement polonais de fin novembre 2024	Recherche d'image inversée | AFP Fact Check	0.599	OK
0.73	cjt1feqr7jq7di1zadgy2mh7f	FALSE	Cette vidéo montre le crash du 9 août 2024 au Brésil	Recherche inversée pour la vidéo | AFP Fact Check	0.605	OK
0.67	c3dec6y8yy054z2dt855hjrwp	FALSE	Les médias russes ont publié une vidéo montrant à quoi ressemblerait une attaque nucléaire contre les Etats-Unis.	The Cylons Attack the Colonies - Battlestar Galactica Reimagined	0.616	OK
0.62	ct90top3gpf28ljrqg6mdi0sf	FALSE	Une vidéo d'un avion retrouvé 37 ans après sa disparition	Recherche avancée sur internet | AFP Fact Check	0.627	OK
0.60	cx79wpxnndm49bp7spf9d83yg	FALSE	Une vidéo montre une frappe iranienne sur la centrale nucléaire d'Haïfa	Chinese chemical plant explosion ....	0.630	OK
